% Model,Oldyoid_project.mph
% Version,COMSOL 6.3.0.290
% Date,"Jun 3 2026, 14:27"
% Dimension,2
% Nodes,40730
% Expressions,6
% Description,"Velocity field, x-component, Velocity field, y-component, Pressure, Viscoelastic extra stress tensor, branch 1, xx-component, Viscoelastic extra stress tensor, branch 1, xy-component, Viscoelastic extra stress tensor, branch 1, yy-component"
% Length unit,m
% x,y,u (m/s),v (m/s),p (Pa),vef.Te_1xx (N/m^2),vef.Te_1xy (N/m^2),vef.Te_1yy (N/m^2)
1.7049359987681093E-6,1.7619123383649972E-6,5.239121395802882E-5,-2.4875991128343394E-10,2.9949650048295955,0.8684865992759294,0.1473529845749158,6.917563274812775E-7
0,2.5974025974025985E-6,7.69101158221786E-5,-1.3151366754635742E-11,3.0001231909932433,0.8537531086588981,0.14610396963153538,3.097481936317138E-8
0,0,0,0,3.000103324948879,0.8998991521172626,0.14999998559256086,-1.1632947264705436E-8
2.5974025974024875E-6,0,0,0,2.9922866905422008,0.8999839759386355,0.15000672635351972,-1.1284136098623545E-6
1.949516101645511E-6,3.924706693519735E-6,1.1542786864643265E-4,-7.929604416346829E-10,2.994216555755188,0.8306703814285757,0.14410906447426863,-1.4165233416332774E-6
0,5.194805194805197E-6,1.517962862654384E-4,-2.277747613623741E-11,3.0001101802231744,0.8088215586476369,0.14220776269545146,-1.3680519138984193E-8
3.977761294792548E-6,2.2874524009026536E-6,6.783785963171051E-5,-5.155637478556539E-10,2.9881462897721964,0.8591535561950766,0.14656030057481303,-1.5947620329957211E-7
5.194805194805197E-6,0,0,0,2.984487208967582,0.9000016219375366,0.1500095019192247,1.5145089430359377E-6
2.0300566000695655E-6,6.495210018240508E-6,1.8852370293096955E-4,-6.215406529026787E-10,2.993978456542546,0.7867875546081313,0.14025613940651735,-9.477871799131913E-8
0,7.792207792207795E-6,2.2465850817848364E-4,-1.8655792088882474E-11,3.0001295703338826,0.7651042226412569,0.13831174980281732,3.772660673910036E-8
3.98434279898785E-6,5.2114570276651784E-6,1.522661468204025E-4,-1.30869207996304E-9,2.988130312741323,0.8085334203639091,0.14217702522307782,-1.0333617167681174E-6
5.8990188452551215E-6,4.060594202779724E-6,1.1934440347499487E-4,-2.6738693399751184E-10,2.982357395917036,0.8283366189728651,0.14390496447351064,-9.429946514180066E-7
6.665573185244637E-6,2.115606866606619E-6,6.279801750127112E-5,-1.2675425064544183E-10,2.9800590052900273,0.8622089046204459,0.1468241533232952,8.486047504899691E-7
7.792207792207907E-6,0,0,0,2.976680200912566,0.8999867075494298,0.1499991154799137,-1.4906482995984482E-6
