Experiment_ID,Architecture,Optimizer,Epochs,Activation,Scheduler,Loss_Function,Noise_Level,Data_Points,weigthed,Execution_Time(s),Final_Total_Loss,Final_Physics_Loss,Final_Data_Loss,Final_BC_Loss,MAE,L2_Error,True_K,Estimated_K,Rel_Error_K
Poisson_Inverse_Tanh_N0_P50_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.0,50,False,67.34564685821533,5.224191087029544e-06,3.097999062360395e-06,1.150383446462599e-07,2.0111536800228885e-06,8.394226729765649,0.027968058559416344,1.0,1.0264065932818225,2.640659328182249
Poisson_Inverse_Tanh_N0_P50_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.0,50,True,67.52744340896606,4.474795951446136e-06,3.120038837969097e-06,7.367914939705521e-08,1.2810779640799836e-06,6.360197196433326,0.02277246615967103,1.0,1.016813446348713,1.6813446348713068
Poisson_Inverse_Tanh_N0_P50_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.0,50,False,67.26470804214478,2.454876067940557e-06,1.2232328665884437e-06,1.3620810560895545e-07,1.095435095743158e-06,5.501518561668519,0.022106256157711748,1.0,1.0306286479032745,3.0628647903274464
Poisson_Inverse_Tanh_N0_P50_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.0,50,True,70.17909169197083,1.6158449898135043e-06,1.4096820643586797e-06,8.80148637899343e-08,1.1814806166489032e-07,2.7041021789557718,0.011890605283442908,1.0,0.9864186243773585,1.35813756226415
Poisson_Inverse_Tanh_N0_P100_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.0,100,False,65.92304134368896,5.620431435046145e-06,3.062115880880957e-06,2.1874133116384026e-07,2.3395742230013483e-06,9.19260376382256,0.029261023263013382,1.0,1.0337934567242464,3.3793456724246385
Poisson_Inverse_Tanh_N0_P100_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.0,100,True,66.89461135864258,6.742541113742374e-06,4.781685356669801e-06,1.6265580981371625e-07,1.7981999472588572e-06,10.93831111624501,0.02617909762765173,1.0,1.0254089356479503,2.5408935647950326
Poisson_Inverse_Tanh_N0_P500_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.0,500,False,66.90300107002258,5.769518530214709e-06,3.5087048859460145e-06,2.894515095737495e-07,1.971362134694945e-06,9.248372749090485,0.028166713129590792,1.0,1.0262924919210237,2.6292491921023675
Poisson_Inverse_Tanh_N0_P500_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.0,500,True,70.11836695671082,1.7303731855175744e-06,1.1759146230388174e-06,8.98968549993094e-08,4.645617074794477e-07,5.210423931166818,0.014638098519004546,1.0,1.0117322439036243,1.1732243903624262
Poisson_Inverse_Tanh_N1_P50_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.01,50,False,66.02178573608398,8.329887687827312e-06,4.924531234175055e-06,3.99970688049805e-07,3.0053857656024517e-06,9.937910006389666,0.03417500247549788,1.0,1.036510307210433,3.6510307210432913
Poisson_Inverse_Tanh_N1_P50_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.01,50,True,66.1134283542633,6.4791195815464685e-06,2.603051898393664e-06,4.161391825520572e-07,3.4599285006007473e-06,11.103991386696581,0.03520874126413406,1.0,1.0331472389519327,3.3147238951932723
