run_id,timestamp,fluid_model,mesh,n_points,lambda_true,lambda_est,lambda_err_pct,mu_p_true,mu_p_est,mu_p_err_pct,alpha_true,alpha_est,alpha_err_pct,eps_true,eps_est,eps_err_pct,err_L2_u_pct,err_L2_v_pct,err_L2_uv_pct,err_L2_tau_xy_pct,err_L2_tau_xx_pct,err_L2_tau_yy_pct,err_L2_tau_diag_pct,final_loss_total,final_loss_pde,final_loss_bc,final_loss_data,notes
[2026-09-22_09-30][INV][L0.3-P0.5-S0.5-A0.1-E0_M5k][Ph1_40k+10k],2026-09-22 09:30,Giesekus,5k,5086,0.3,0.2770158294198347,-7.661390193362887,0.5,0.47505777790033643,-4.988444419922737,0.1,0.028484249750244734,-71.51575024904011,0.0,5.292061488942023e-05,,0.47660139069264795,0.483467538390789,0.4800344645417185,6.3189974437448555,9.563500662039635,9.19116195185653,9.377331306948083,0.0,0.0,0.0,0.0,
[2026-09-21_20-24][INV][L0.1-P0.5-S0.5-A0.1-E0_M5k][Ph1_40k+10k],2026-09-21 20:24,Giesekus,5k,5086,0.1,0.10274163620980732,2.7416362097798994,0.5,0.5293664205550441,5.873284110997079,0.1,0.07041056237032679,-29.589437629377315,0.0,2.1025301826533157e-05,,0.44418288423627966,0.44660207597379176,0.4453924801050358,6.253143939766873,8.112470751504942,7.416784106215364,7.764627428860154,0.0,0.0,0.0,0.0,Retry (Guess cieco alpha=0.25)
[2026-09-21_17-07][INV][L0.1-P0.5-S0.5-A0.35-E0_M5k][Ph1_40k+10k],2026-09-21 17:07,Giesekus,5k,5086,0.1,0.10316028460588385,3.1602846058522394,0.5,0.5307060872338959,6.141217446766897,0.35,0.3298268747086235,-5.763750083233959,0.0,1.493964712672217e-05,,0.4672163884436121,0.46215459361215433,0.4646854910278832,5.919134941621228,7.281175604356882,6.846753314381624,7.063964459369254,0.0,0.0,0.0,0.0,Validazione Giesekus A0.35 (Guess cieco 0.25)
[2026-09-21_13-54][INV][L0.1-P0.5-S0.5-A0.1-E0_M5k][Ph1_40k+10k],2026-09-21 13:54,Giesekus,5k,5086,0.1,0.10291353443849796,2.9135344384688198,0.5,0.5303179378914002,6.0635875782679225,0.1,0.06873708119875213,-31.262918800935243,0.0,1.5988185268680344e-05,,0.506327872988265,0.5089060597387088,0.507616966363487,6.422664840553619,8.394641693510717,7.393095854527568,7.893868774019143,0.0,0.0,0.0,0.0,1st attempt (Guess alpha=0.08)
[2026-09-20_17-01][INV][L0.1-P0.5-S0.5-A0-E0_M5k][Ph1_40k+10k],2026-09-20 17:01,Oldroyd-B,5k,5086,0.1,0.10079009043346604,0.7900904334581331,0.5,0.510341596607413,2.0683193214784557,0.0,3.415540679677756e-06,,0.0,2.5949868109735777e-05,,0.14843840746111187,0.15006219610782592,0.14925030178446888,1.9459803853031536,2.7322847000528,2.396771187021395,2.5645279435370973,0.0,0.0,0.0,0.0,Record Accuratezza Mesh Ultraleggera
[2026-09-20_01-53][INV][L0.1-P0.5-S0.5-A0-E0_M52k][Ph1_40k+10k],2026-09-20 01:53,Oldroyd-B,52k,52648,0.1,0.10618423118048631,6.184231180424462,0.5,0.5322801005367405,6.456020107335181,0.0,5.814102506891731e-06,,0.0,3.2227041028344806e-05,,0.44043660629584813,0.44416712099447686,0.4423018636451625,4.636072348927762,6.37937202972883,5.766929752981145,6.073150891354988,0.0,0.0,0.0,0.0,
[2026-09-19_16-48][INV][L0.1-P0.5-S0.5-A0-E0_M29k][Ph1_40k+10k],2026-09-19 16:48,Oldroyd-B,29k,29401,0.1,0.108791,8.791,0.5,0.545509,9.1018,0.0,7e-06,,0.0,4.8e-05,,0.5675,0.5843,0.5759000000000001,6.8823,8.7652,8.376100000000001,8.57065,0.0001548,0.0001055943,3.206049e-06,3.317513e-05,
[2026-09-19_11-51][INV][L0.1-P0.5-S0.5-A0-E0_M12k][Ph1_40k+10k],2026-09-19 11:51,Oldroyd-B,12k,12760,0.1,0.107078,7.078,0.5,0.538854,7.7708,0.0,9e-06,,0.0,9.4e-05,,0.5477,0.5456,0.54665,7.0301,8.9015,8.2172,8.55935,0.00014038,8.909706e-05,4.281732e-06,2.987765e-05,
[2026-09-18_23-36][INV][L0.1-P0.5-S0.5-A0-E0_M125k][Ph1_40k+10k],2026-09-18 23:36,Oldroyd-B,125k,125758,0.1,0.108319,8.319,0.5,0.54118,8.236,0.0,6e-06,,0.0,2.5e-05,,0.5039,0.5048,0.5043500000000001,5.3193,7.077799999999999,6.6967,6.88725,8.556e-05,5.474819e-05,1.075203e-06,2.543656e-05,
[2026-09-14_06-46][INV][TRANSFER_LEARNING][L0.2-P0.5-S0.5-A0-E0_M125k][TL_Ph1_20k+5k],2026-09-14 06:46,Oldroyd-B,125k,125000,0.2,0.2081,4.05,0.5,0.5214,4.28,0.0,0.0,,0.0,0.0,,0.31,0.31,0.31,2.8,4.1,4.1,4.1,0.0,0.0,0.0,0.0,Transfer Learning (lam 0.1 -> 0.2)
